userName,score,at,content
Pengguna Google,1,2024-07-27 12:12:37,"cant scroll bug, poco x3 nfc"
Pengguna Google,5,2024-07-27 12:07:56,bagus
Pengguna Google,5,2024-07-27 12:04:27,sempurna
Pengguna Google,3,2024-07-27 11:56:54,"saya sudah bertanya agar AI mengerti, dengan teratur dan detail, tapi jawabannya kurang memuaskan dan kaku"
Pengguna Google,1,2024-07-27 11:34:26,"Kadang suka banget error. Mau terjemahkan kalimat malah ga bisa. AI selalu merespon: ""I can't assist you with that, as I'm only a language model and don't have the capacity to understand and respond."""
Pengguna Google,4,2024-07-27 11:27:14,kreen
Pengguna Google,1,2024-07-27 11:26:21,jauh dari kata baik. banyak sekali yang saya tanyakan Gemini tidak bisa jawab. SANGAT BURUK !
Pengguna Google,5,2024-07-27 09:41:14,mantap
Pengguna Google,1,2024-07-27 09:08:41,tidak bisa bahasa indonesia
Pengguna Google,4,2024-07-27 09:07:50,"Respon cepat, hasil penelusuran nya cukup baik walaupun kita harus mengubah hasilnya sendiri"
Pengguna Google,5,2024-07-27 08:45:02,mantap
Pengguna Google,4,2024-07-27 08:20:04,bagus
Pengguna Google,5,2024-07-27 07:13:11,Sangat bermanfaat
Pengguna Google,5,2024-07-27 05:05:27,menarik
Pengguna Google,5,2024-07-27 04:41:43,ok
Pengguna Google,5,2024-07-27 04:11:20,sangat membantu
Pengguna Google,5,2024-07-27 04:02:54,mantap
Pengguna Google,5,2024-07-27 03:59:49,Aplikasi chatbot AI yang keren. Tingkatan terus update dan upgrade nya. Mohon juga agar memberikan fitur AI untuk editing foto.
Pengguna Google,5,2024-07-27 03:49:24,sangat membantu Terima kasih Gemini
Pengguna Google,2,2024-07-27 02:52:58,lumayan tapi agak kurang
Pengguna Google,1,2024-07-27 02:18:49,Useless... I prefer choose google Assistant. More helpfull
Pengguna Google,5,2024-07-27 02:13:32,Good
Pengguna Google,5,2024-07-27 02:08:27,keren
Pengguna Google,5,2024-07-27 01:45:25,bagus tidak lelet
Pengguna Google,4,2024-07-27 01:37:15,Semoga kedepannya bisa mengupload dokumen yang akan di terjemahkan atau diringkas. Terima kasih
Pengguna Google,5,2024-07-27 01:15:42,keren
Pengguna Google,5,2024-07-27 00:53:22,Enak cepat dan gampang gali satu kalau bisa tolong buatkan witget nya agar lebih mempermudah
Pengguna Google,5,2024-07-27 00:22:25,super app
Pengguna Google,5,2024-07-27 00:03:44,keren bangett
Pengguna Google,5,2024-07-26 23:59:20,gemini okew bangat..sangat membantu dan alat yang cerdas
Pengguna Google,5,2024-07-26 23:17:36,Terbaik
Pengguna Google,1,2024-07-26 22:33:30,Lebih Bagus Google Asisstant
Pengguna Google,4,2024-07-26 19:00:18,"lumayan menarik, dibandingkan sebelumnya"
Pengguna Google,4,2024-07-26 16:22:14,patut dicoba
Pengguna Google,5,2024-07-26 15:39:20,Bagus dan fungsi
Pengguna Google,5,2024-07-26 15:14:30,luar biasa sgt terbantu
Pengguna Google,5,2024-07-26 15:10:39,sangat berguna
Pengguna Google,5,2024-07-26 13:52:40,""" Terima kasih atas semua kerja keras yang telah kalian lakukan untuk mengembangkan Gemini. Saya sangat menikmati menggunakan Gemini dan berharap ke depannya akan ada banyak lagi fitur-fitur menarik yang bisa kita nikmati bersama❣️ "" Warm greetings from me, a Gemini user from Indonesia ""Oiriizky😊"""
Pengguna Google,5,2024-07-26 13:25:09,👍👍👍
Pengguna Google,5,2024-07-26 13:08:14,ok
Pengguna Google,5,2024-07-26 13:02:09,mantab
Pengguna Google,5,2024-07-26 12:29:08,"sangat membantu, dan mudah di mengerti"
Pengguna Google,4,2024-07-26 12:20:19,keren dan sangat membantu
Pengguna Google,5,2024-07-26 12:19:36,anjay
Pengguna Google,5,2024-07-26 12:06:43,👍👍👍👍👍👍👍👍
Pengguna Google,5,2024-07-26 11:18:43,aku menyukainya
Pengguna Google,5,2024-07-26 11:06:56,membantu sekali
Pengguna Google,5,2024-07-26 11:03:42,suka bangettt sama aplikasi yang satu ini bisa tahu dengan semua hal hal yang ada diluar ataupun nama kita sendri..
Pengguna Google,5,2024-07-26 11:00:56,Bagus
Pengguna Google,5,2024-07-26 10:46:21,sangat membantu
Pengguna Google,5,2024-07-26 10:26:11,"Bermanfaat, Terimakasih"
Pengguna Google,5,2024-07-26 09:57:20,Aisah 05: its cool
Pengguna Google,1,2024-07-26 09:51:59,ngga tau bahasa
Pengguna Google,5,2024-07-26 09:36:48,ok
Pengguna Google,3,2024-07-26 09:28:41,ya lumayan baik
Pengguna Google,5,2024-07-26 08:52:53,akurat
Pengguna Google,5,2024-07-26 07:48:37,Gemini sangat membantu saya dalam hal yang saya tidak tahu
Pengguna Google,5,2024-07-26 07:46:28,good
Pengguna Google,5,2024-07-26 06:42:49,gemini
Pengguna Google,5,2024-07-26 06:06:41,google gemini id
Pengguna Google,4,2024-07-26 05:28:49,masih belum beradaptasi
Pengguna Google,5,2024-07-26 05:01:23,keren
Pengguna Google,5,2024-07-26 03:50:41,keren
Pengguna Google,1,2024-07-26 03:31:57,"Downgrade sebelum nya bisa berbahasa Indonesia, tetapi sekarang kenapa tidak bisa"
Pengguna Google,5,2024-07-26 03:30:46,Sangat membantu dan bisa di andalkan
Pengguna Google,5,2024-07-26 03:19:23,good sangat bermanfaat
Pengguna Google,5,2024-07-26 03:16:48,"sangat membantu, kelass aplikasinya"
Pengguna Google,3,2024-07-26 03:16:44,bagus
Pengguna Google,5,2024-07-26 02:49:53,Mantap
Pengguna Google,4,2024-07-26 01:22:48,jadi mudah menemukan sesuatu
Pengguna Google,5,2024-07-26 01:04:54,mantab
Pengguna Google,5,2024-07-26 00:51:05,mantab gratis
Pengguna Google,2,2024-07-26 00:42:48,masih kaku
Pengguna Google,5,2024-07-26 00:11:56,"Saya pengguna baru aplikasi Google Gemini dapat membantu saya untuk asisten pribadi, jika diperlukan dapat membantu, Ok Developer terimakasih banyak"
Pengguna Google,5,2024-07-26 00:06:35,top banget
Pengguna Google,5,2024-07-25 23:27:05,informatif
